,Feature Importance
Mughlai,0.066855684
Healthy Food,0.0666336
Italian,0.047168452
locality_Karkhana,0.046381533
place_type,0.042718392
locality_Lakdikapul,0.038141325
locality_Kondapur,0.03600588
European,0.03451268
average_cost_for_two,0.033953853
locality_Hitech City,0.030374438
Biryani,0.030011058
locality_Jubilee Hills,0.028601622
Momos,0.02844209
Continental,0.02840008
Beverages,0.027404731
locality_Banjara Hills,0.02655099
Cafe,0.026276423
North Indian,0.026022129
latitude,0.025716554
Asian,0.023747284
Chinese,0.023722615
Arabian,0.023375576
has_online_delivery,0.023370102
South Indian,0.021013556
locality_Film Nagar,0.020875886
votes,0.020052884
Desserts,0.020010438
longitude,0.019480623
cuisine_count,0.013090017
locality_S P Road,0.011616627
locality_Charminar,0.0104711475
has_table_booking,0.0103436895
Seafood,0.009699433
locality_Begumpet,0.009553666
Modern Indian,0.008728145
locality_Sainikpuri,0.008087935
Ice Cream,0.007898309
Bakery,0.007870064
locality_Madhapur,0.005641466
Andhra,0.0054782927
Fast Food,0.004230707
locality_Nampally,0.0014699665
locality_Rani Gunj,0.0
locality_Gachibowli,0.0
locality_Bowenpally,0.0
locality_Somajiguda,0.0
locality_Miyapur,0.0
locality_Falaknuma,0.0
locality_Marigold Hotel,0.0
locality_Himayath Nagar,0.0
locality_Gandipet,0.0
locality_S D Road,0.0
locality_Kukatpally,0.0
locality_Shamirpet,0.0
locality_Paradise Circle,0.0
locality_Kompally,0.0
locality_Necklace Road,0.0
Salad,0.0
locality_Basheer Bagh,0.0
locality_Ameerpet,0.0
price_range,0.0
American,0.0
Awadhi,0.0
BBQ,0.0
Burger,0.0
Burmese,0.0
Coffee,0.0
Gujarati,0.0
Hyderabadi,0.0
Japanese,0.0
Juices,0.0
Lebanese,0.0
Mediterranean,0.0
Mexican,0.0
Parsi,0.0
Pizza,0.0
Rajasthani,0.0
Rolls,0.0
Sandwich,0.0
Street Food,0.0
Sushi,0.0
Tex-Mex,0.0
Thai,0.0
Tibetan,0.0
Vietnamese,0.0
locality_Srinagar Colony,0.0
